"ListID","ListName","ListNum"
"78","周郎将计","2"
"77","奇佐论胜","2"
"76","毒士计","3"
"75","子敬邀刀","2"
"74","家虎狼顾","4"
"73","武庙","3"
"72","高山仰止","2"
"71","隐山之玉","4"
"70","祈福","7"
"69","谋定天下","5"
"68","瑶光","1"
"67","开阳","1"
"66","玉衡","2"
"65","天璇","2"
"64","天枢","3"
"63","钟灵毓秀","7"
"62","笔舌如橡","9"
"61","神武","8"
"60","锦瑟良缘","11"
"59","章台春望","5"
"58","往者可谏","5"
"57","皇家贵胃","18"
"56","豆蔻梢头","10"
"55","计将安出","11"
"54","奇人异士","11"
"53","百战虎贵","17"
"52","正音雅乐","6"
"51","异军突起","4"
"50","太平甲子","6"
"49","匡鼎炎汉","10"
"48","纵横阖","8"
"47","悬壶济世","5"
"46","江湖之远","5"
"45","代汉涂高","7"
"44","绕庭之鸦","5"
"43","天下归心","15"
"42","芝兰玉树","11"
"41","才子佳人","14"
"40","无双上将","7"
"39","烽火连天","4"
"38","千里单骑","7"
"37","兵临城下","10"
"36","上兵伐谋","4"
"35","戚宦之争","7"
"34","自走棋","4"
"33","逐鹿天下","4"
"32","文和乱武","11"
"31","群雄伺动","1"
"30","琥虎悲歌","4"
"29","中原狼烟","4"
"28","徐州风云","4"
"27","诸侯伐董","4"
"26","黄巾之乱","4"
"25","七杀","8"
"24","天相","8"
"23","天同","8"
"22","天机","8"
"21","天梁","8"
"20","天府","8"
"19","一将成名2023","6"
"18","一将成名2022","8"
"17","一将成名2015","11"
"16","一将成名2014","11"
"15","一将成名2013","11"
"14","一将成名2012","11"
"13","一将成名2011","11"
"12","神","12"
"11","雷","8"
"10","阴","8"
"9","山","8"
"8","林","8"
"7","火","8"
"6","风","8"
"5","香","5"
"4","慧","7"
"3","骁","7"
"2","虎","4"
"1","主","3"
