"SkinID","Url","Dialogue"
"714","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/209701.png?v=fc87b2541"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/209701.png?v=fc87b2541"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/209701.png?v=fc87b2541"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/209701.png?v=fc87b2541""]","[[{""text"": ""明任"", ""confidence"": 0.999557614326477}, {""text"": "">"", ""confidence"": 0.5004109144210815}, {""text"": ""得义真所救，吾任之必尽以报。"", ""confidence"": 0.9979328513145447}, {""text"": ""吾之任，君之明举。"", ""confidence"": 0.9973833560943604}], [{""text"": ""贞良"", ""confidence"": 0.9258124232292175}, {""text"": ""风霜以别草木之性，危乱而见贞良之节。"", ""confidence"": 0.9942298531532288}, {""text"": ""贞节贤良，吾之本心。"", ""confidence"": 0.99286949634552}], [{""text"": ""阵亡"", ""confidence"": 0.9368420839309692}, {""text"": ""泓泓眸子宿渊亭，不见蛾眉只见经。"", ""confidence"": 0.9817767143249512}]]"
"713","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/409701.png"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/409701.png"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/409701.png"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/409701.png"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi02/LuZhi_MingRen_01.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi02/LuZhi_MingRen_02.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi02/LuZhi_ZhenLiang_01.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi02/LuZhi_ZhenLiang_02.mp3?v=be223c8b1"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi02/LuZhi_Dead.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi02/LuZhi_Dead.mp3""]","[[{""text"": ""明任"", ""confidence"": 0.9994531869888306}, {""text"": ""抱才育器，以效国家。"", ""confidence"": 0.9973236918449402}, {""text"": ""内举不避亲，外举不避仇。"", ""confidence"": 0.9972851872444153}], [{""text"": ""贞良"", ""confidence"": 0.953707218170166}, {""text"": ""无君无父之辈，怎敢在此造次！"", ""confidence"": 0.9942995309829712}, {""text"": ""召虎狼以平乱，无疑饮止渴！"", ""confidence"": 0.9781449437141418}], [{""text"": ""阵亡"", ""confidence"": 0.9960166215896606}, {""text"": ""朝廷重用这种人等，怎会不败？"", ""confidence"": 0.9909073710441589}]]"
"712","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/409701.png"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/409701.png"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/409701.png"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/409701.png"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi01/LuZhi_MingRen_01.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi01/LuZhi_MingRen_02.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi01/LuZhi_ZhenLiang_02.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi01/LuZhi_ZhenLiang_01.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi01/LuZhi_Dead.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/luzhi01/LuZhi_Dead.mp3""]","[[{""text"": ""明任"", ""confidence"": 0.999347448348999}, {""text"": ""君通晓时势，真乃栋梁之才"", ""confidence"": 0.9920628666877747}, {""text"": ""明任贤举，治国兴邦！"", ""confidence"": 0.9882014393806458}], [{""text"": ""贞良"", ""confidence"": 0.9646439552307129}, {""text"": ""老夫为国而死，何惧董贼！"", ""confidence"": 0.9754814505577087}, {""text"": ""决决汉廷，竟无一人忠于陛下！"", ""confidence"": 0.8767037391662598}], [{""text"": ""阵亡"", ""confidence"": 0.9693039655685425}, {""text"": ""国已至此，无人可救！"", ""confidence"": 0.9719676971435547}]]"
"711","[""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell155_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell155_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell156_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell156_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/dead/charDead_97.mp3""]","[[{""text"": ""明任"", ""confidence"": 0.9994518160820007}, {""text"": ""得义真所救，吾任之必尽以报。"", ""confidence"": 0.9983359575271606}, {""text"": ""吾之任，君之明举。"", ""confidence"": 0.9976879954338074}], [{""text"": ""贞良"", ""confidence"": 0.9228394031524658}, {""text"": ""风霜以别草木之性，危乱而见贞良之节。"", ""confidence"": 0.9945730566978455}, {""text"": ""贞节贤良，吾之本心。"", ""confidence"": 0.9923714399337769}], [{""text"": ""阵亡"", ""confidence"": 0.9811631441116333}, {""text"": ""泓泓眸子宿渊亭，不见蛾眉只见经。"", ""confidence"": 0.9837507009506226}]]"
"710","[""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/xuyou01/Xuyou_Chenglue_02.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/xuyou01/Xuyou_Chenglue_01.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/xuyou01/Xuyou_Shicai_02.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/xuyou01/Xuyou_Shicai_01.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/xuyou01/Xuyou_Cunmu_01.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/xuyou01/Xuyou_Cunmu_02.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/xuyou01/Xuyou_Dead.mp3""]","[[{""text"": ""成略"", ""confidence"": 0.9986718893051147}, {""text"": ""阿瞒，必对此策满意。"", ""confidence"": 0.9958858489990234}, {""text"": ""谋略已成，即可用之。"", ""confidence"": 0.994917094707489}], [{""text"": ""恃才"", ""confidence"": 0.8220242857933044}, {""text"": ""满腹才华，当之无愧。"", ""confidence"": 0.9941094517707825}, {""text"": ""吾之才华，岂是汝等能比？"", ""confidence"": 0.990103542804718}], [{""text"": ""寸目"", ""confidence"": 0.9876242280006409}, {""text"": ""眼前事急，不用周全。"", ""confidence"": 0.9949642419815063}, {""text"": ""这些足够，不需长远考虑。"", ""confidence"": 0.9876495003700256}], [{""text"": ""阵亡"", ""confidence"": 0.9756765961647034}, {""text"": ""曹阿瞒，你忘恩负义！"", ""confidence"": 0.972467303276062}]]"
"709","[""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell152_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell152_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell153_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell153_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell154_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/1-spell/spell154_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/dead/charDead_96.mp3""]","[[{""text"": ""成略"", ""confidence"": 0.9986910223960876}, {""text"": ""成略在胸，良计速出。"", ""confidence"": 0.9887217283248901}, {""text"": ""吾有良略在怀，必为阿瞒所需。"", ""confidence"": 0.9930470585823059}], [{""text"": ""恃才"", ""confidence"": 0.8311767578125}, {""text"": ""吾才满腹，袁本初竟不从之！"", ""confidence"": 0.9797573089599609}, {""text"": ""阿瞒有我良计，取冀州便是易如反掌。"", ""confidence"": 0.9890173673629761}], [{""text"": ""寸目"", ""confidence"": 0.9735325574874878}, {""text"": ""目光所及，短寸之间。"", ""confidence"": 0.9959856867790222}, {""text"": ""狭目之见，只能窥底。"", ""confidence"": 0.994360089302063}], [{""text"": ""阵亡"", ""confidence"": 0.9925568699836731}, {""text"": ""阿瞒，没有我，你得不到冀州啊！"", ""confidence"": 0.9835540056228638}]]"
"708","[]","[[{""text"": ""荐降"", ""confidence"": 0.9857223033905029}, {""text"": "">"", ""confidence"": 0.5163732767105103}, {""text"": ""得遇曹公，吾之幸也。"", ""confidence"": 0.9926387667655945}, {""text"": ""》曹公得荆不喜，喜得吾二人足以。"", ""confidence"": 0.9747141599655151}], [{""text"": ""审时"", ""confidence"": 0.9998027086257935}, {""text"": ""深中足智，见时审情。"", ""confidence"": 0.9955402612686157}, {""text"": ""数语之言，审时度势。"", ""confidence"": 0.9926897287368774}], [{""text"": ""阵亡"", ""confidence"": 0.9494187831878662}, {""text"": ""表不能善用，所憾也。"", ""confidence"": 0.9968412518501282}]]"
"707","[""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue03/KuaiLiangKuaiYue_JianXiang_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue03/KuaiLiangKuaiYue_JianXiang_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue03/KuaiLiangKuaiYue_ShenShi_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue03/KuaiLiangKuaiYue_ShenShi_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue03/KuaiLiangKuaiYue_Dead.mp3""]","[[{""text"": ""荐降"", ""confidence"": 0.9841465950012207}, {""text"": ""化敌为友，以图共襄义举。"", ""confidence"": 0.9963034987449646}, {""text"": ""吾等冰释前嫌，他日有难，莫忘此恩。"", ""confidence"": 0.9900648593902588}], [{""text"": ""审时"", ""confidence"": 0.9997854828834534}, {""text"": ""进五尺而退其三，此为蚕食。"", ""confidence"": 0.9971203207969666}, {""text"": ""名高引谤，树大招风。"", ""confidence"": 0.9346727132797241}], [{""text"": ""阵亡"", ""confidence"": 0.9813135862350464}, {""text"": ""投曹而无为，吾万万没有想到啊！"", ""confidence"": 0.9883078336715698}]]"
"706","[""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue02/KuaiLiangKuaiYue_JianXiang_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue02/KuaiLiangKuaiYue_JianXiang_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue02/KuaiLiangKuaiYue_ShenShi_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue02/KuaiLiangKuaiYue_ShenShi_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue02/KuaiLiangKuaiYue_Dead.mp3""]","[[{""text"": ""荐降"", ""confidence"": 0.990825355052948}, {""text"": ""卿等智勇足备，怎堪屈身事贼？"", ""confidence"": 0.9886347651481628}, {""text"": ""若不为国效力，空复八尺身躯啊！"", ""confidence"": 0.9901148080825806}], [{""text"": ""审时"", ""confidence"": 0.9996045827865601}, {""text"": ""此等是非之地，让之，又能如何？"", ""confidence"": 0.9975393414497375}, {""text"": ""割地保和，以求不日再取。"", ""confidence"": 0.9956924915313721}], [{""text"": ""阵亡"", ""confidence"": 0.9702725410461426}, {""text"": ""二人之言论，总有相左。"", ""confidence"": 0.9885036945343018}]]"
"705","[""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue04/KuaiLiangKuaiYue_JianXiang_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue04/KuaiLiangKuaiYue_JianXiang_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue04/KuaiLiangKuaiYue_ShenShi_1.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue04/KuaiLiangKuaiYue_ShenShi_2.mp3"", ""https://web.sanguosha.com/10/pc/res/assets/runtime/voice/skin/kuailiangkuaiyue04/KuaiLiangKuaiYue_Dead.mp3""]","[[{""text"": ""荐降"", ""confidence"": 0.9869917631149292}, {""text"": ""归曹乃共谋大事之举，我辈岂屈膝逢迎之"", ""confidence"": 0.9659783244132996}, {""text"": ""人0"", ""confidence"": 0.8375152945518494}, {""text"": ""济明公于困顿，捧丹心于玉壶。"", ""confidence"": 0.988311767578125}], [{""text"": ""审时"", ""confidence"": 0.9997528791427612}, {""text"": ""今天时在北，诸君当明天意、顺天行。"", ""confidence"": 0.9917286038398743}, {""text"": ""荆襄之困无解，唯改弦易帜、另起新灶。"", ""confidence"": 0.97174072265625}], [{""text"": ""阵亡"", ""confidence"": 0.9493423700332642}, {""text"": ""自刘景升后，荆襄再无春风。"", ""confidence"": 0.9965813755989075}]]"
